data,1 GBP
2017-01-02,5.1925
2017-01-03,5.1975
2017-01-04,5.1596
2017-01-05,5.1266
2017-01-09,5.0534
2017-01-10,5.0132
2017-01-11,5.0266
2017-01-12,5.0413
2017-01-13,5.0152
2017-01-16,4.9883
2017-01-17,4.9879
2017-01-18,5.0354
2017-01-19,5.0503
2017-01-20,5.0405
2017-01-23,5.0757
2017-01-24,5.0793
2017-01-25,5.1096
2017-01-26,5.1278
2017-01-27,5.0945
2017-01-30,5.0701
2017-01-31,5.0209
2017-02-01,5.0510
2017-02-02,5.0574
2017-02-03,4.9959
2017-02-06,4.9755
2017-02-07,4.9818
2017-02-08,5.0643
2017-02-09,5.0672
2017-02-10,5.0537
2017-02-13,5.0673
2017-02-14,5.0537
2017-02-15,5.0627
2017-02-16,5.0765
2017-02-17,5.0533
2017-02-20,5.0712
2017-02-21,5.0888
2017-02-22,5.0860
2017-02-23,5.0950
2017-02-24,5.1011
2017-02-27,5.0646
2017-02-28,5.0617
2017-03-01,5.0437
2017-03-02,4.9999
2017-03-03,5.0091
2017-03-06,4.9844
2017-03-07,4.9804
2017-03-08,4.9651
2017-03-09,4.9656
2017-03-10,4.9621
2017-03-13,4.9737
2017-03-14,4.9350
2017-03-15,4.9610
2017-03-16,4.9377
2017-03-17,4.9466
2017-03-20,4.9415
2017-03-21,4.9201
2017-03-22,4.9518
2017-03-23,4.9577
2017-03-24,4.9327
2017-03-27,4.9346
2017-03-28,4.9309
2017-03-29,4.8869
2017-03-30,4.8904
2017-03-31,4.9130
2017-04-03,4.9604
2017-04-04,4.9606
2017-04-05,4.9607
2017-04-06,4.9605
2017-04-07,4.9431
2017-04-10,4.9550
2017-04-11,4.9707
2017-04-12,5.0047
2017-04-13,5.0056
2017-04-14,4.9932
2017-04-18,5.0108
2017-04-19,5.0729
2017-04-20,5.0797
2017-04-21,5.1003
2017-04-24,5.0092
2017-04-25,4.9825
2017-04-26,4.9671
2017-04-27,4.9978
2017-04-28,5.0021
2017-05-02,4.9851
2017-05-04,4.9796
2017-05-05,4.9792
2017-05-08,4.9800
2017-05-09,5.0122
2017-05-10,5.0244
2017-05-11,5.0047
2017-05-12,4.9897
2017-05-15,4.9735
2017-05-16,4.8948
2017-05-17,4.8928
2017-05-18,4.9380
2017-05-19,4.9054
2017-05-22,4.8689
2017-05-23,4.8508
2017-05-24,4.8766
2017-05-25,4.8238
2017-05-26,4.7942
2017-05-29,4.7987
2017-05-30,4.8147
2017-05-31,4.7749
2017-06-01,4.7972
2017-06-02,4.7989
2017-06-05,4.7782
2017-06-06,4.8143
2017-06-07,4.8047
2017-06-08,4.8474
2017-06-09,4.7658
2017-06-12,4.7547
2017-06-13,4.7478
2017-06-14,4.7783
2017-06-16,4.8199
2017-06-19,4.8167
2017-06-20,4.8064
2017-06-21,4.8028
2017-06-22,4.8126
2017-06-23,4.8151
2017-06-26,4.7969
2017-06-27,4.7728
2017-06-28,4.7783
2017-06-29,4.8168
2017-06-30,4.8132
2017-07-03,4.8224
2017-07-04,4.8296
2017-07-05,4.8357
2017-07-06,4.8294
2017-07-07,4.7906
2017-07-10,4.7818
2017-07-11,4.8085
2017-07-12,4.7596
2017-07-13,4.8005
2017-07-14,4.7931
2017-07-17,4.8055
2017-07-18,4.7499
2017-07-19,4.7530
2017-07-20,4.7593
2017-07-21,4.7190
2017-07-24,4.7421
2017-07-25,4.7589
2017-07-26,4.7722
2017-07-27,4.7774
2017-07-28,4.7657
2017-07-31,4.7520
2017-08-01,4.7622
2017-08-02,4.7492
2017-08-03,4.7595
2017-08-04,4.6938
2017-08-07,4.6958
2017-08-08,4.6986
2017-08-09,4.7252
2017-08-10,4.7315
2017-08-11,4.7276
2017-08-14,4.7084
2017-08-16,4.6970
2017-08-17,4.6738
2017-08-18,4.7049
2017-08-21,4.6882
2017-08-22,4.6694
2017-08-23,4.6433
2017-08-24,4.6551
2017-08-25,4.6269
2017-08-28,4.6117
2017-08-29,4.5852
2017-08-30,4.6085
2017-08-31,4.6183
2017-09-01,4.6144
2017-09-04,4.6206
2017-09-05,4.6075
2017-09-06,4.6349
2017-09-07,4.6411
2017-09-08,4.6301
2017-09-11,4.6561
2017-09-12,4.7169
2017-09-13,4.7303
2017-09-14,4.7504
2017-09-15,4.8521
2017-09-18,4.8662
2017-09-19,4.8277
2017-09-20,4.8313
2017-09-21,4.8540
2017-09-22,4.8369
2017-09-25,4.8543
2017-09-26,4.8873
2017-09-27,4.9086
2017-09-28,4.9013
2017-09-29,4.8842
2017-10-02,4.8914
2017-10-03,4.8668
2017-10-04,4.8561
2017-10-05,4.8157
2017-10-06,4.8121
2017-10-09,4.8158
2017-10-10,4.8061
2017-10-11,4.7803
2017-10-12,4.7635
2017-10-13,4.7909
2017-10-16,4.7889
2017-10-17,4.7709
2017-10-18,4.7392
2017-10-19,4.7208
2017-10-20,4.7221
2017-10-23,4.7520
2017-10-24,4.7553
2017-10-25,4.7441
2017-10-26,4.7482
2017-10-27,4.7856
2017-10-30,4.7956
2017-10-31,4.8233
2017-11-02,4.8131
2017-11-03,4.7586
2017-11-06,4.7938
2017-11-07,4.8200
2017-11-08,4.8066
2017-11-09,4.7752
2017-11-10,4.7709
2017-11-13,4.7576
2017-11-14,4.7317
2017-11-15,4.7148
2017-11-16,4.7401
2017-11-17,4.7662
2017-11-20,4.7671
2017-11-21,4.7738
2017-11-22,4.7546
2017-11-23,4.7310
2017-11-24,4.7295
2017-11-27,4.7089
2017-11-28,4.7073
2017-11-29,4.7405
2017-11-30,4.7847
2017-12-01,4.7675
2017-12-04,4.7685
2017-12-05,4.7600
2017-12-06,4.7715
2017-12-07,4.7801
2017-12-08,4.8261
2017-12-11,4.7646
2017-12-12,4.7652
2017-12-13,4.7895
2017-12-14,4.8060
2017-12-15,4.8061
2017-12-18,4.7717
2017-12-19,4.7578
2017-12-20,4.7483
2017-12-21,4.7318
2017-12-22,4.7387
2017-12-27,4.7272
2017-12-28,4.7126
2017-12-29,4.7001
,
kod ISO,GBP
nazwa waluty,funt szterling
liczba jednostek,1
