data,1 GBP
2019-01-02,4.7737
2019-01-03,4.7589
2019-01-04,4.7803
2019-01-07,4.7907
2019-01-08,4.7952
2019-01-09,4.7835
2019-01-10,4.7680
2019-01-11,4.7550
2019-01-14,4.8073
2019-01-15,4.8300
2019-01-16,4.8439
2019-01-17,4.8468
2019-01-18,4.8773
2019-01-21,4.8457
2019-01-22,4.8718
2019-01-23,4.9019
2019-01-24,4.9373
2019-01-25,4.9581
2019-01-28,4.9464
2019-01-29,4.9455
2019-01-30,4.9260
2019-01-31,4.8889
2019-02-01,4.8588
2019-02-04,4.8868
2019-02-05,4.8870
2019-02-06,4.8880
2019-02-07,4.8941
2019-02-08,4.9192
2019-02-11,4.9277
2019-02-12,4.9303
2019-02-13,4.9302
2019-02-14,4.9429
2019-02-15,4.9104
2019-02-18,4.9437
2019-02-19,4.9495
2019-02-20,4.9840
2019-02-21,4.9965
2019-02-22,4.9787
2019-02-25,5.0025
2019-02-26,5.0259
2019-02-27,5.0321
2019-02-28,5.0350
2019-03-01,5.0223
2019-03-04,5.0183
2019-03-05,5.0082
2019-03-06,5.0014
2019-03-07,5.0077
2019-03-08,5.0272
2019-03-11,4.9577
2019-03-12,5.0332
2019-03-13,5.0013
2019-03-14,5.0398
2019-03-15,5.0406
2019-03-18,5.0199
2019-03-19,5.0190
2019-03-20,4.9955
2019-03-21,4.9503
2019-03-22,4.9700
2019-03-25,5.0024
2019-03-26,5.0128
2019-03-27,5.0329
2019-03-28,5.0187
2019-03-29,4.9960
2019-04-01,5.0090
2019-04-02,5.0086
2019-04-03,5.0309
2019-04-04,5.0297
2019-04-05,4.9998
2019-04-08,4.9854
2019-04-09,4.9827
2019-04-10,4.9678
2019-04-11,4.9656
2019-04-12,4.9514
2019-04-15,4.9497
2019-04-16,4.9476
2019-04-17,4.9265
2019-04-18,4.9483
2019-04-19,4.9479
2019-04-23,4.9522
2019-04-24,4.9452
2019-04-25,4.9669
2019-04-26,4.9709
2019-04-29,4.9794
2019-04-30,4.9677
2019-05-02,4.9840
2019-05-06,5.0219
2019-05-07,5.0126
2019-05-08,4.9984
2019-05-09,4.9898
2019-05-10,4.9745
2019-05-13,4.9840
2019-05-14,4.9631
2019-05-15,4.9661
2019-05-16,4.9112
2019-05-17,4.9273
2019-05-20,4.9117
2019-05-21,4.9038
2019-05-22,4.8906
2019-05-23,4.8852
2019-05-24,4.8768
2019-05-27,4.8759
2019-05-28,4.8641
2019-05-29,4.8744
2019-05-30,4.8672
2019-05-31,4.8572
2019-06-03,4.8410
2019-06-04,4.8144
2019-06-05,4.8221
2019-06-06,4.8274
2019-06-07,4.8270
2019-06-10,4.7897
2019-06-11,4.7939
2019-06-12,4.7954
2019-06-13,4.7804
2019-06-14,4.7771
2019-06-17,4.7821
2019-06-18,4.7736
2019-06-19,4.7888
2019-06-21,4.7799
2019-06-24,4.7558
2019-06-25,4.7704
2019-06-26,4.7573
2019-06-27,4.7520
2019-06-28,4.7331
2019-07-01,4.7323
2019-07-02,4.7433
2019-07-03,4.7294
2019-07-04,4.7323
2019-07-05,4.7319
2019-07-08,4.7446
2019-07-09,4.7475
2019-07-10,4.7508
2019-07-11,4.7453
2019-07-12,4.7513
2019-07-15,4.7515
2019-07-16,4.7214
2019-07-17,4.7175
2019-07-18,4.7341
2019-07-19,4.7372
2019-07-22,4.7205
2019-07-23,4.7224
2019-07-24,4.7648
2019-07-25,4.7643
2019-07-26,4.7637
2019-07-29,4.7394
2019-07-30,4.6846
2019-07-31,4.6813
2019-08-01,4.7071
2019-08-02,4.7051
2019-08-05,4.7014
2019-08-06,4.6879
2019-08-07,4.6874
2019-08-08,4.6856
2019-08-09,4.6785
2019-08-12,4.6704
2019-08-13,4.6714
2019-08-14,4.6926
2019-08-16,4.7713
2019-08-19,4.7531
2019-08-20,4.7654
2019-08-21,4.7623
2019-08-22,4.7784
2019-08-23,4.8050
2019-08-26,4.8149
2019-08-27,4.8171
2019-08-28,4.8213
2019-08-29,4.8277
2019-08-30,4.8340
2019-09-02,4.8123
2019-09-03,4.7823
2019-09-04,4.7897
2019-09-05,4.8248
2019-09-06,4.8348
2019-09-09,4.8405
2019-09-10,4.8406
2019-09-11,4.8601
2019-09-12,4.8497
2019-09-13,4.8705
2019-09-16,4.8609
2019-09-17,4.8882
2019-09-18,4.8953
2019-09-19,4.9062
2019-09-20,4.9277
2019-09-23,4.9721
2019-09-24,4.9509
2019-09-25,4.9552
2019-09-26,4.9426
2019-09-27,4.9332
2019-09-30,4.9313
2019-10-01,4.9322
2019-10-02,4.9101
2019-10-03,4.8832
2019-10-04,4.8659
2019-10-07,4.8574
2019-10-08,4.8359
2019-10-09,4.8208
2019-10-10,4.7971
2019-10-11,4.8929
2019-10-14,4.8998
2019-10-15,4.9282
2019-10-16,4.9610
2019-10-17,4.9456
