2020-12-01,4.9904
2020-12-02,4.9426
2020-12-03,4.9562
2020-12-04,4.9565
2020-12-07,4.9089
2020-12-08,4.9270
2020-12-09,4.9289
2020-12-10,4.8708
2020-12-11,4.8418
2020-12-14,4.9004
2020-12-15,4.8684
2020-12-16,4.9108
2020-12-17,4.9251
2020-12-18,4.9012
2020-12-21,4.9024
2020-12-22,4.9515
2020-12-23,4.9542
2020-12-24,5.0286
2020-12-28,4.9656
2020-12-29,4.9550
2020-12-30,5.0102
2020-12-31,5.1327
